metric,value,expected,status
Total stock weight,552312.3 kg,unchanged,✅ PASS
StockLot count,1115,unchanged,✅ PASS
StockTransfer count,10,unchanged,✅ PASS
SortingBill count,144,unchanged,✅ PASS
BuyBill count,158,unchanged,✅ PASS
SellBill count,18,unchanged,✅ PASS
Product count,113,unchanged,✅ PASS
TRN-2569-00006 duplicates,1,1,✅ PASS
TRN-2569-00008 duplicates,1,1,✅ PASS
TRN-2569-00009 duplicates,1,1,✅ PASS
businessType column exists,YES,YES,✅ PASS
TRN-2569-00006 businessType,แกะของ,แกะของ,✅ PASS
TRN-2569-00008 businessType,คัดแยก,คัดแยก,✅ PASS
TRN-2569-00009 businessType,คัดแยก,คัดแยก,✅ PASS