source sheet,source row number,sale date,product start date,bill number,buyer/customer code,buyer/customer name,raw product name,matched product name,product code,weight,unit,price per kg,amount,note,exclusion reason
Sheet1,408,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,119.4,กก.,410.301507537688,48990,,Sale date is before product start date
Sheet1,409,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,104.4,กก.,430.268199233716,44920,,Sale date is before product start date
Sheet1,410,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงปอกช็อต,ทองแดงช็อต,0302,62.9,กก.,464.66613672496004,29227.5,,Sale date is before product start date
Sheet1,414,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงใหญ่,ทองแดงใหญ่,0303,152,กก.,348.8486842105261,53025,,Sale date is before product start date
Sheet1,415,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงใหญ่,ทองแดงใหญ่,0303,97.2,กก.,359.104938271605,34905,,Sale date is before product start date
Sheet1,416,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,89.2,กก.,374.159192825112,33375,,Sale date is before product start date
Sheet1,417,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,388.6,กก.,381.8013381369021,148368,,Sale date is before product start date
Sheet1,418,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,103.5,กก.,408.811594202899,42312,,Sale date is before product start date
Sheet1,419,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,72.1,กก.,411.13730929264904,29643,,Sale date is before product start date
Sheet1,420,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงใหญ่,ทองแดงใหญ่,0303,274.3,กก.,421.86474662778,115717.5,,Sale date is before product start date
Sheet1,424,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงเล็ก,ทองแดงเล็ก,0304,108.60000000000001,กก.,341.50552486187803,37087.5,,Sale date is before product start date
Sheet1,425,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงเล็ก,ทองแดงเล็ก,0304,62,กก.,355,22010,,Sale date is before product start date
Sheet1,426,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงเล็ก,ทองแดงเล็ก,0304,86.60000000000001,กก.,371.997690531178,32215,,Sale date is before product start date
Sheet1,427,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงเล็ก,ทองแดงเล็ก,0304,223,กก.,378.336322869955,84369,,Sale date is before product start date
Sheet1,428,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงเล็ก,ทองแดงเล็ก,0304,94,กก.,405.127659574468,38082,,Sale date is before product start date
Sheet1,429,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงเล็ก,ทองแดงเล็ก,0304,73.6,กก.,405.99184782608705,29881,,Sale date is before product start date
Sheet1,430,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงเล็ก,ทองแดงเล็ก,0304,127.3,กก.,426.17439120188504,54252,,Sale date is before product start date
Sheet1,434,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,7.6000000000000005,กก.,182.565789473684,1387.5,,Sale date is before product start date
Sheet1,435,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,26.2,กก.,199.25572519084,5220.5,,Sale date is before product start date
Sheet1,436,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,11.9,กก.,200.084033613445,2381,,Sale date is before product start date
Sheet1,437,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,75,กก.,211.6,15870,,Sale date is before product start date
Sheet1,438,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,17.2,กก.,227.96511627907,3921,,Sale date is before product start date
Sheet1,439,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,21.2,กก.,223.962264150943,4748,,Sale date is before product start date
Sheet1,440,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองแดง,หม้อน้ำทองแดง,0306,4.7,กก.,228.723404255319,1075,,Sale date is before product start date
Sheet1,444,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงชุบ,ทองแดงชุบ,0308,6,กก.,330,1980,,Sale date is before product start date
Sheet1,445,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงชุบ,ทองแดงชุบ,0308,7,กก.,333,2331,,Sale date is before product start date
Sheet1,446,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงชุบ,ทองแดงชุบ,0308,33.5,กก.,343.014925373134,11491,,Sale date is before product start date
Sheet1,447,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงชุบ,ทองแดงชุบ,0308,25,กก.,350.28000000000003,8757,,Sale date is before product start date
Sheet1,448,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงชุบ,ทองแดงชุบ,0308,0.3,กก.,500,150,,Sale date is before product start date
Sheet1,449,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงชุบ,ทองแดงชุบ,0308,3.3000000000000003,กก.,374.242424242424,1235,,Sale date is before product start date
Sheet1,450,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงชุบ,ทองแดงชุบ,0308,11.3,กก.,207.610619469026,2346,,Sale date is before product start date
Sheet1,460,08/01/2569,04/07/2569,A2007350,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองเหลืองหนา,ทองเหลือง,0401,107.4,กก.,216.17318435754203,23217,,Sale date is before product start date
Sheet1,461,05/02/2569,04/07/2569,A2007394,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองเหลืองหนา,ทองเหลือง,0401,61,กก.,224.34426229508202,13685,,Sale date is before product start date
Sheet1,462,27/02/2569,04/07/2569,A2007423,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองหนา,ทองเหลือง,0401,95.60000000000001,กก.,232.531380753138,22230,,Sale date is before product start date
Sheet1,463,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองหนา,ทองเหลือง,0401,482.40000000000003,กก.,244.66625207296804,118027,,Sale date is before product start date
Sheet1,464,14/05/2569,04/07/2569,A2007536,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองหนา,ทองเหลือง,0401,128.4,กก.,265.82554517134,34132,,Sale date is before product start date
Sheet1,465,27/05/2569,04/07/2569,A2007558,026,เอ็น เอส  (นิว โซลูชั่น),ทองเหลืองหนา,ทองเหลือง,0401,203.9,กก.,272.515939185875,55566,,Sale date is before product start date
Sheet1,469,08/01/2569,04/07/2569,A2007350,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,30.6,กก.,299.019607843137,9150,,Sale date is before product start date
Sheet1,470,05/02/2569,04/07/2569,A2007394,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,9.4,กก.,280.851063829787,2640,,Sale date is before product start date
Sheet1,471,27/02/2569,04/07/2569,A2007423,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,1.9000000000000001,กก.,350.526315789474,666,,Sale date is before product start date
Sheet1,472,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,93.8,กก.,356.76972281449906,33465,,Sale date is before product start date
Sheet1,473,14/05/2569,04/07/2569,A2007536,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,12.3,กก.,359.674796747967,4424,,Sale date is before product start date
Sheet1,474,27/05/2569,04/07/2569,A2007558,026,เอ็น เอส  (นิว โซลูชั่น),ทองเหลืองเนื้อแดง,ทองเหลืองเนื้อแดง,0402,22.7,กก.,331.431718061674,7523.5,,Sale date is before product start date
Sheet1,478,09/01/2569,21/04/2569,A2007358,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ขี้กลึงทองเหลือง (เนื้อเขียว),ขี้กลึงทองเหลือง,0403,90.60000000000001,กก.,179.370860927152,16251,,Sale date is before product start date
Sheet1,482,27/02/2569,04/07/2569,A2007423,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองเหลือง,หม้อน้ำทองเหลือง,0404,3.3000000000000003,กก.,202.424242424242,668,,Sale date is before product start date
Sheet1,483,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองเหลือง,หม้อน้ำทองเหลือง,0404,6.6000000000000005,กก.,231.363636363636,1527,,Sale date is before product start date
Sheet1,484,14/05/2569,04/07/2569,A2007536,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),หม้อน้ำทองเหลือง,หม้อน้ำทองเหลือง,0404,1,กก.,235,235,,Sale date is before product start date
Sheet1,485,27/05/2569,04/07/2569,A2007558,026,เอ็น เอส  (นิว โซลูชั่น),หม้อน้ำทองเหลือง,หม้อน้ำทองเหลือง,0404,13.9,กก.,235.035971223022,3267,,Sale date is before product start date
Sheet1,495,07/01/2569,05/02/2569,A2007347,0001,ลูกค้าทั่วไป,แสตนเลส 202,สแตนเลส 202,0502,0.5,กก.,70,35,,Sale date is before product start date
Sheet1,496,10/01/2569,05/02/2569,A2007360,0001,ลูกค้าทั่วไป,แสตนเลส 202,สแตนเลส 202,0502,0.2,กก.,20,4,,Sale date is before product start date
Sheet1,497,03/02/2569,05/02/2569,A2007391,0001,ลูกค้าทั่วไป,แสตนเลส 202,สแตนเลส 202,0502,0.1,กก.,80,8,,Sale date is before product start date
Sheet1,509,05/02/2569,27/05/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ตะกั่วนิ่ม,ตะกั่วนิ่ม,0601,0.9,กก.,57.3709327548807,51.63,,Sale date is before product start date
Sheet1,510,27/02/2569,27/05/2569,A2007424,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ตะกั่วนิ่ม,ตะกั่วนิ่ม,0601,34.4,กก.,59.3313953488372,2041,,Sale date is before product start date
Sheet1,515,08/01/2569,27/05/2569,A2007351,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ตะกั่วแข็ง,ตะกั่วแข็ง,0602,76.7,กก.,65,4985.5,,Sale date is before product start date
Sheet1,516,05/02/2569,27/05/2569,A2007396,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ตะกั่วแข็ง,ตะกั่วแข็ง,0602,45.2,กก.,57.3709327548807,2593.17,,Sale date is before product start date
Sheet1,517,07/02/2569,27/05/2569,A2007400,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ตะกั่วแข็ง,ตะกั่วแข็ง,0602,351.8,กก.,67.8055713473564,23854,,Sale date is before product start date
Sheet1,518,27/02/2569,27/05/2569,A2007424,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ตะกั่วแข็ง,ตะกั่วแข็ง,0602,64.6,กก.,68.7770897832817,4443,,Sale date is before product start date
Sheet1,519,14/05/2569,27/05/2569,A2007536,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ตะกั่วแข็ง,ตะกั่วแข็ง,0602,174.3,กก.,86.8330464716007,15135,,Sale date is before product start date