No.,SortingBill ID,date,source/input product,source/input weight,total output weight,difference / loss,output products summary,created at,updated at,note,classification,owner decision
1,cmqz1yia40001ic04l6q0gz68,29/06/2569,เหล็กหนาสั้น,213.8,,,ทองแดงเล็ก=7.4kg; มอเตอร์=195kg; อลูมิเนียมฉาก=11.4kg,,,,likely OK / post-PDF,
2,cmr22bjx00001jm04qinug64f,01/07/2569,เหล็กหนาสั้น,76.3,,,ทองแดงใหญ่=9.4kg; คอมดำ=7.5kg; มอเตอร์=52.6kg; สายไฟไม่ปอก=6.8kg,,,,likely OK / post-PDF,
3,cmr22cbsr0001jv041meacfuj,01/07/2569,เหล็กบาง,67.3,,,ตะกั่วแข็ง=0.5kg; เหล็กบาง=1.7kg; ทองเหลืองเนื้อแดง=1kg; แสตนเลส 304=20kg; อลูมิ,,,,likely OK / post-PDF,
4,cmr3f1enh0001js04oukgwa0l,02/07/2569,เครื่องจักร,25,,,เบรกเกอร์=5.4kg; แผงวงจรเขียว=6.8kg; รีเลย์=7.8kg; ทองเหลืองหนา=1.1kg; ทองเหลือง,,,,likely OK / post-PDF,
5,cmr687hsg000kk104powopo70,04/07/2569,เครื่องจักร,18.5,,,อลูมิเนียมฉาก=0.7kg; อลูมิเนียมแข็ง (หล่อ/หนา)=3.4kg; แผงวงจรเขียว=5.2kg; เบรกเก,,,,likely OK / post-PDF,
6,cmr9e9pvj0001ky04514gho3o,06/07/2569,เหล็กหนาสั้น,13.6,,,สายไฟไม่ปอก=13.6kg,,,,likely OK / post-PDF,
7,cmr9emxng0008ky04simjoz2u,06/07/2569,เหล็กบาง,81,,,อลูมิเนียมบาง=4.1kg; อลูมิเนียมแข็ง (หล่อ/หนา)=4.6kg; ขยะ=1.6kg; ทองเหลืองหนา=2.,,,,likely OK / post-PDF,